,Metadata_Col,Metadata_Row,Metadata_Well,Metadata_perturbation_id,Metadata_perturbation_type,QC_cell_count,QC_cell_count_cov,QC_cov_failed,QC_position_effect
0,1,A,A01,pert_0000,trt,1096,-1.468469274,FALSE,0.3545706371191136
1,2,A,A02,pert_0000,trt,1555,0.828631709,FALSE,0.3019390581717451
2,3,A,A03,pert_0000,trt,1468,0.7897382086869332,FALSE,0.2465373961218836
3,4,A,A04,pert_0000,trt,1281,-1.167513008,FALSE,0.2077562326869806
4,5,A,A05,pert_0000,trt,1053,-0.624064334,FALSE,0.3185595567867036
5,6,A,A06,pert_0000,trt,1272,-1.399571317,FALSE,0.1883656509695291
6,7,A,A07,pert_0000,trt,1384,-0.637633851,FALSE,0.2686980609418282
7,8,A,A08,pert_0000,trt,1435,-0.370919978,FALSE,0.1551246537396121
8,9,A,A09,pert_0000,trt,1217,0.2994469355490289,FALSE,0.2853185595567867
9,10,A,A10,pert_0000,trt,1380,-2.818037911,FALSE,0.1966759002770083
10,11,A,A11,pert_0000,trt,1271,1.561816061013325,TRUE,0.2659279778393352
11,12,A,A12,pert_0000,trt,1347,0.4379372570167542,FALSE,0.2465373961218836
12,13,A,A13,pert_0000,trt,1359,-0.567165916,FALSE,0.2880886426592798
13,14,A,A14,pert_0000,trt,1365,0.7531201456911861,FALSE,0.066481994
14,15,A,A15,pert_0000,trt,1562,1.205256417221166,TRUE,0.2493074792243767
15,16,A,A16,pert_0000,trt,1374,1.352157008103588,TRUE,0.2493074792243767
16,17,A,A17,pert_0000,trt,1519,-0.118160767,FALSE,0.2409972299168975
17,18,A,A18,pert_0000,trt,1424,0.019539748,FALSE,0.083102493
18,19,A,A19,pert_0000,trt,1415,-0.20314308,FALSE,0.2548476454293629
19,20,A,A20,pert_0000,trt,1304,-0.797480154,FALSE,0.1883656509695291
20,21,A,A21,pert_0000,trt,1489,-0.614750794,FALSE,0.260387812
21,22,A,A22,pert_0000,trt,1523,0.9848089302666275,FALSE,0.1440443213296399
22,23,A,A23,pert_0000,trt,1447,-0.247263722,FALSE,0.2659279778393352
23,24,A,A24,pert_0000,trt,1457,-0.128353103,FALSE,0.1024930747922437
24,25,A,A25,pert_0000,trt,1409,-0.853793515,FALSE,0.1301939058171745
25,26,A,A26,pert_0000,trt,1432,1.745254812817327,TRUE,0.1883656509695291
26,27,A,A27,pert_0000,trt,1476,-0.531927903,FALSE,0.1301939058171745
27,28,A,A28,pert_0000,trt,1401,1.3785989265738454,TRUE,0.1939058171745152
28,29,A,A29,pert_0000,trt,1304,-0.285361348,FALSE,0.1966759002770083
29,30,A,A30,pert_0000,trt,1472,-0.615978978,FALSE,0.1662049861495844
30,31,A,A31,pert_0000,trt,766,-0.626121052,FALSE,0.069252078
31,32,A,A32,pert_0000,trt,1438,-1.154902496,FALSE,0.1218836565096952
32,33,A,A33,pert_0000,trt,1476,0.49843402296841244,FALSE,0.088642659
33,34,A,A34,pert_0000,trt,1627,-0.853300494,FALSE,0.1301939058171745
34,35,A,A35,pert_0000,trt,1423,-0.218005216,FALSE,0.1440443213296399
35,36,A,A36,pert_0000,trt,1404,0.173001783,FALSE,0.099722992
36,37,A,A37,pert_0000,trt,1535,0.761423336,FALSE,0.1911357340720221
37,38,A,A38,pert_0000,trt,1374,-0.222364563,FALSE,0.1468144044321329
38,39,A,A39,pert_0000,trt,1452,0.318628784,FALSE,0.1357340720221606
39,40,A,A40,pert_0000,trt,1326,0.8453811269351479,FALSE,0.1052631578947368
40,41,A,A41,pert_0000,trt,1385,0.025560086040066186,FALSE,0.2105263157894736
41,42,A,A42,pert_0000,trt,1352,0.8991361644895874,FALSE,0.1412742382271468
42,43,A,A43,pert_0000,trt,1308,0.18582047668752755,FALSE,0.1662049861495844
43,44,A,A44,pert_0000,trt,1186,0.47777367245347724,FALSE,0.1551246537396121
44,45,A,A45,pert_0000,trt,1265,0.719495165,FALSE,0.2132963988919667
45,46,A,A46,pert_0000,trt,1510,0.9438593987623799,FALSE,0.2742382271468144
46,47,A,A47,pert_0000,trt,1360,-1.978689395,FALSE,0.2299168975069252
47,48,A,A48,pert_0000,trt,1035,0.9334487355491445,FALSE,0.3767313019390582
48,1,B,B01,pert_0000,trt,1483,-0.510292694,FALSE,0.2936507936507936
49,48,B,B48,pert_0000,trt,896,0.8441613808488208,FALSE,0.1111111111111111
50,1,C,C01,pert_0000,trt,1106,-0.352140583,FALSE,0.2539682539682539
51,48,C,C48,pert_0000,trt,1408,0.1472990107982379,FALSE,0.2619047619047619
52,1,D,D01,pert_0000,trt,1634,0.12588529508904064,FALSE,0.2539682539682539
53,48,D,D48,pert_0000,trt,1290,0.3396056694555262,FALSE,0.119047619
54,1,E,E01,pert_0000,trt,1437,0.660101242,FALSE,0.2619047619047619
55,48,E,E48,pert_0000,trt,1364,-0.330868563,FALSE,0.1428571428571428
56,1,F,F01,pert_0000,trt,1377,0.8908962656062767,FALSE,0.2301587301587301
57,48,F,F48,pert_0000,trt,1377,-0.404593988,FALSE,0.4682539682539682
58,1,G,G01,pert_0000,trt,1565,-1.727157446,FALSE,0.4177215189873418
59,48,G,G48,pert_0000,trt,1309,1.5173851507693474,TRUE,0.379746835
60,1,H,H01,pert_0000,trt,1608,-1.043611437,FALSE,0.3417721518987341
61,48,H,H48,pert_0000,trt,1239,0.24369704741702777,FALSE,0.2531645569620253
62,1,I,I01,pert_0000,trt,1364,-0.063890716,FALSE,0.4050632911392405
63,48,I,I48,pert_0000,trt,1296,0.4455824134340738,FALSE,0.3164556962025316
64,1,J,J01,pert_0000,trt,1404,-0.582321349,FALSE,0.4050632911392405
65,48,J,J48,pert_0000,trt,1374,-1.834152084,FALSE,0.2151898734177215
66,1,K,K01,pert_0000,trt,1537,0.4742136884465839,FALSE,0.3924050632911392
67,48,K,K48,pert_0000,trt,1354,-0.426283466,FALSE,0.3037974683544304
68,1,L,L01,pert_0000,trt,1512,0.016182322560218173,FALSE,0.4050632911392405
69,48,L,L48,pert_0000,trt,1272,-1.125241423,FALSE,0.2784810126582278
70,1,M,M01,pert_0000,trt,1631,-0.52213714,FALSE,0.4177215189873418
71,48,M,M48,pert_0000,trt,673,0.4763540035167174,FALSE,0.088607595
72,1,N,N01,pert_0000,trt,1554,-2.339733502,FALSE,0.4177215189873418
73,48,N,N48,pert_0000,trt,1389,0.19518660540091168,FALSE,0.189873418
74,1,O,O01,pert_0000,trt,1396,0.973309687,FALSE,0.3291139240506329
75,48,O,O48,pert_0000,trt,1364,-0.130118659,FALSE,0.2911392405063291
76,1,P,P01,pert_0000,trt,1439,0.36669617585813036,FALSE,0.3924050632911392
77,48,P,P48,pert_0000,trt,1199,-0.788835221,FALSE,0.3544303797468354
78,1,Q,Q01,pert_0000,trt,1525,0.5462505212312226,FALSE,0.3924050632911392
79,48,Q,Q48,pert_0000,trt,1440,-0.434784672,FALSE,0.3164556962025316
80,1,R,R01,pert_0000,trt,1673,0.056985487693421905,FALSE,0.2278481012658227
81,48,R,R48,pert_0000,trt,1209,1.5058976317413713,TRUE,0.3670886075949367
82,1,S,S01,pert_0000,trt,1553,0.3563421456511605,FALSE,0.3924050632911392
83,48,S,S48,pert_0000,trt,1273,0.860453794,FALSE,0.2911392405063291
84,1,T,T01,pert_0000,trt,1552,-0.680255488,FALSE,0.4050632911392405
85,48,T,T48,pert_0000,trt,1439,0.20734601,FALSE,0.2278481012658227
86,1,U,U01,pert_0000,trt,1113,-0.499918407,FALSE,0.3670886075949367
87,48,U,U48,pert_0000,trt,1372,0.2616432225815422,FALSE,0.2025316455696202
88,1,V,V01,pert_0000,trt,1588,-0.804511827,FALSE,0.2911392405063291
89,48,V,V48,pert_0000,trt,1128,-0.054821089,FALSE,0.2911392405063291
90,1,W,W01,pert_0000,trt,1553,0.23049387165653956,FALSE,0.3544303797468354
91,48,W,W48,pert_0000,trt,1332,1.4993353782639833,TRUE,0.3037974683544304
92,1,X,X01,pert_0000,trt,1404,-0.643633659,FALSE,0.3670886075949367
93,48,X,X48,pert_0000,trt,1319,-0.130649486,FALSE,0.3291139240506329
94,1,Y,Y01,pert_0000,trt,1546,0.15746997023740766,FALSE,0.430379747
95,48,Y,Y48,pert_0000,trt,1345,-1.194992212,FALSE,0.3164556962025316
96,1,Z,Z01,pert_0000,trt,1423,1.3843694805130777,TRUE,0.379746835
97,48,Z,Z48,pert_0000,trt,1321,0.139181714,FALSE,0.2911392405063291
98,1,AA,AA01,pert_0000,trt,1530,0.7618575534360619,FALSE,0.3924050632911392
99,48,AA,AA48,pert_0000,trt,1449,-0.563912452,FALSE,0.189873418
100,1,AB,AB01,pert_0000,trt,1702,0.34521535697632366,FALSE,0.4177215189873418
101,48,AB,AB48,pert_0000,trt,1387,-0.021216654,FALSE,0.1012658227848101
102,1,AC,AC01,pert_0000,trt,1712,1.469399634893011,TRUE,0.3037974683544304
103,48,AC,AC48,pert_0000,trt,1464,-0.764383856,FALSE,0.2025316455696202
104,1,AD,AD01,pert_0000,trt,1720,0.6270722777551089,FALSE,0.4936708860759494
105,48,AD,AD48,pert_0000,trt,1456,2.391987802699405,TRUE,0.2025316455696202
106,1,AE,AE01,pert_0000,trt,1638,0.3663536351928573,FALSE,0.4810126582278481
107,48,AE,AE48,pert_0000,trt,1386,-0.358595418,FALSE,0.4430379746835443
108,1,AF,AF01,pert_0000,trt,965,0.6849158658888318,FALSE,0.6708860759493671
109,2,AF,AF02,pert_0000,trt,1533,-0.120463374,FALSE,0.4936708860759494
110,3,AF,AF03,pert_0000,trt,1608,-1.618449256,FALSE,0.3164556962025316
111,4,AF,AF04,pert_0000,trt,1423,-0.313881163,FALSE,0.3417721518987341
112,5,AF,AF05,pert_0000,trt,1427,1.413825503732612,TRUE,0.2658227848101265
113,6,AF,AF06,pert_0000,trt,1380,-0.504391011,FALSE,0.4810126582278481
114,7,AF,AF07,pert_0000,trt,1650,0.24433672328499545,FALSE,0.3417721518987341
115,8,AF,AF08,pert_0000,trt,1524,0.8017580314470083,FALSE,0.3037974683544304
116,9,AF,AF09,pert_0000,trt,1364,0.098204705,FALSE,0.5822784810126582
117,10,AF,AF10,pert_0000,trt,1178,0.001161355,FALSE,0.4050632911392405
118,11,AF,AF11,pert_0000,trt,1563,-0.046294347,FALSE,0.3037974683544304
119,12,AF,AF12,pert_0000,trt,1374,-1.509803988,FALSE,0.3291139240506329
120,13,AF,AF13,pert_0000,trt,1489,-0.092508808,FALSE,0.379746835
121,14,AF,AF14,pert_0000,trt,943,-0.667017379,FALSE,0.2911392405063291
122,15,AF,AF15,pert_0000,trt,1433,-0.47633654,FALSE,0.5189873417721519
123,16,AF,AF16,pert_0000,trt,1495,0.8706963336465983,FALSE,0.4177215189873418
124,17,AF,AF17,pert_0000,trt,1491,1.2197141548832757,TRUE,0.5316455696202531
125,18,AF,AF18,pert_0000,trt,1241,1.2449596110838068,TRUE,0.2531645569620253
126,19,AF,AF19,pert_0000,trt,1517,1.1438387939881787,TRUE,0.3924050632911392
127,20,AF,AF20,pert_0000,trt,1435,-0.699571917,FALSE,0.3670886075949367
128,21,AF,AF21,pert_0000,trt,1312,-1.760185615,FALSE,0.2911392405063291
129,22,AF,AF22,pert_0000,trt,1253,0.62600589,FALSE,0.4050632911392405
130,23,AF,AF23,pert_0000,trt,1390,1.7158804855734584,TRUE,0.4810126582278481
131,24,AF,AF24,pert_0000,trt,1324,0.3640097105544701,FALSE,0.2658227848101265
132,25,AF,AF25,pert_0000,trt,1307,0.3562146932694952,FALSE,0.3417721518987341
133,26,AF,AF26,pert_0000,trt,1638,1.5522003607333668,TRUE,0.4050632911392405
134,27,AF,AF27,pert_0000,trt,1312,0.6742894465744729,FALSE,0.3544303797468354
135,28,AF,AF28,pert_0000,trt,1433,-0.740292968,FALSE,0.4177215189873418
136,29,AF,AF29,pert_0000,trt,1429,1.7560802657268757,TRUE,0.2658227848101265
137,30,AF,AF30,pert_0000,trt,1051,-1.695708523,FALSE,0.3544303797468354
138,31,AF,AF31,pert_0000,trt,1576,0.088732019,FALSE,0.3164556962025316
139,32,AF,AF32,pert_0000,trt,1479,0.8445591689275548,FALSE,0.2531645569620253
140,33,AF,AF33,pert_0000,trt,1522,0.4836353315525736,FALSE,0.4683544303797468
141,34,AF,AF34,pert_0000,trt,1506,-0.209280568,FALSE,0.430379747
142,35,AF,AF35,pert_0000,trt,1481,-0.727953694,FALSE,0.3670886075949367
143,36,AF,AF36,pert_0000,trt,1175,2.839482573417308,TRUE,0.3417721518987341
144,37,AF,AF37,pert_0000,trt,1372,0.081405847,FALSE,0.3291139240506329
145,38,AF,AF38,pert_0000,trt,1399,-0.446971912,FALSE,0.2784810126582278
146,39,AF,AF39,pert_0000,trt,1506,-0.870473352,FALSE,0.3924050632911392
147,40,AF,AF40,pert_0000,trt,1343,-0.817353529,FALSE,0.3037974683544304
148,41,AF,AF41,pert_0000,trt,1512,1.3715547235933245,TRUE,0.3417721518987341
149,42,AF,AF42,pert_0000,trt,1496,1.9809755791618997,TRUE,0.2658227848101265
150,43,AF,AF43,pert_0000,trt,1322,-0.816432732,FALSE,0.3037974683544304
151,44,AF,AF44,pert_0000,trt,1510,1.4597892154201204,TRUE,0.3037974683544304
152,45,AF,AF45,pert_0000,trt,1492,-0.275187483,FALSE,0.2784810126582278
153,46,AF,AF46,pert_0000,trt,1479,0.3834388022861517,FALSE,0.3291139240506329
154,47,AF,AF47,pert_0000,trt,1301,0.41606435695581734,FALSE,0.4556962025316455
155,48,AF,AF48,pert_0000,trt,1044,-0.678821374,FALSE,0.8860759493670886
156,45,R,R45,pert_0001,trt,1310,0.286406958,FALSE,0.1645569620253164
157,39,M,M39,pert_0002,trt,1587,-1.060754916,FALSE,0.1645569620253164
158,3,AC,AC03,pert_0003,trt,1781,0.093156062,FALSE,0.3417721518987341
159,46,B,B46,pert_0004,trt,605,-0.759016672,FALSE,0.03968254
160,37,I,I37,pert_0004,trt,752,0.09032651,FALSE,0.1012658227848101
161,19,S,S19,pert_0004,trt,698,1.7920771998919718,TRUE,0.088607595
162,4,AB,AB04,pert_0004,trt,831,-0.205768963,FALSE,0.1772151898734177
163,47,C,C47,pert_0005,trt,470,0.4623730807145551,FALSE,0.087301587
164,38,J,J38,pert_0005,trt,627,1.2750755048680282,TRUE,0.075949367
165,20,T,T20,pert_0005,trt,535,-0.426913366,FALSE,0.063291139
166,5,AC,AC05,pert_0005,trt,686,-0.567182426,FALSE,0.088607595
167,44,O,O44,pert_0006,trt,1635,-0.577427546,FALSE,0.1265822784810126
168,23,K,K23,pert_0007,trt,1461,-0.038202067,FALSE,0.1139240506329113
169,17,AC,AC17,pert_0008,trt,1537,-0.216778884,FALSE,0.2784810126582278
170,6,Z,Z06,pert_0009,trt,1621,0.066179123,FALSE,0.189873418
171,17,E,E17,pert_0010,trt,1368,1.692777554725873,TRUE,0.087301587
172,18,G,G18,pert_0011,trt,1671,0.460872624,FALSE,0.088607595
173,32,E,E32,pert_0012,trt,1581,-0.233763308,FALSE,0.1111111111111111
174,45,J,J45,pert_0013,trt,1406,0.3450121131444419,FALSE,0.1012658227848101
175,20,Z,Z20,pert_0014,trt,1472,-1.118964736,FALSE,0.2025316455696202
176,11,R,R11,pert_0015,trt,1436,-0.921768987,FALSE,0.1772151898734177
177,47,AD,AD47,pert_0016,trt,1531,0.656970493,FALSE,0.240506329
178,36,F,F36,pert_0017,trt,1689,-0.454511739,FALSE,0.1269841269841269
179,42,P,P42,pert_0018,trt,1406,-0.396998965,FALSE,0.2151898734177215
180,15,L,L15,pert_0019,trt,1519,0.48447257268791566,FALSE,0.2025316455696202
181,15,AE,AE15,pert_0020,trt,1485,-1.60552799,FALSE,0.3924050632911392
182,28,X,X28,pert_0021,trt,1424,-0.064596073,FALSE,0.1139240506329113
183,25,X,X25,pert_0022,trt,1467,-0.512140654,FALSE,0.2151898734177215
184,30,L,L30,pert_0023,trt,1462,-1.751811598,FALSE,0.2151898734177215
185,37,U,U37,pert_0024,trt,1502,-2.517215705,FALSE,0.1265822784810126
186,24,V,V24,pert_0025,trt,1541,0.8642333400845914,FALSE,0.1645569620253164
187,26,N,N26,pert_0026,trt,1469,1.2175699018953798,TRUE,0.1265822784810126
188,15,T,T15,pert_0027,trt,1707,-0.542453446,FALSE,0.088607595
189,32,T,T32,pert_0028,trt,1694,1.243486643513517,TRUE,0.1265822784810126
190,38,R,R38,pert_0029,trt,1379,0.9351897049681739,FALSE,0.1392405063291139
191,34,V,V34,pert_0030,trt,1675,0.10790618380874888,FALSE,0.025316456
192,25,K,K25,pert_0031,trt,1355,-0.082918792,FALSE,0.1012658227848101
193,24,R,R24,pert_0032,trt,1690,0.576044204,FALSE,0.1265822784810126
194,26,W,W26,pert_0033,trt,1429,-1.420611178,FALSE,0.075949367
195,28,O,O28,pert_0034,trt,1371,-0.311871134,FALSE,0.075949367
196,25,O,O25,pert_0035,trt,1401,0.7087909799284904,FALSE,0.1139240506329113
197,27,P,P27,pert_0036,trt,1443,0.748564516,FALSE,0.088607595
198,36,O,O36,pert_0037,trt,1702,0.5696437699344017,FALSE,0.075949367
199,35,X,X35,pert_0038,trt,1746,-1.188053207,FALSE,0.1518987341772152
200,38,M,M38,pert_0039,trt,1378,-0.390628889,FALSE,0.1518987341772152
201,26,X,X26,pert_0040,trt,1715,1.754635549341647,TRUE,0.1265822784810126
202,20,K,K20,pert_0041,trt,1465,0.7898001498504038,FALSE,0.1645569620253164
203,24,X,X24,pert_0042,trt,1553,-0.524606565,FALSE,0.1772151898734177
204,44,H,H44,pert_0043,trt,1526,0.1261938726094346,FALSE,0.1518987341772152
205,42,B,B42,pert_0044,trt,1267,0.8219739838399858,FALSE,0.119047619
206,22,S,S22,pert_0045,trt,1291,-1.100650188,FALSE,0.1518987341772152
207,32,K,K32,pert_0046,trt,1508,-1.234781484,FALSE,0.189873418
208,28,I,I28,pert_0047,trt,1389,-0.759063907,FALSE,0.2025316455696202
209,28,AC,AC28,pert_0048,trt,1378,0.4237158479608154,FALSE,0.1772151898734177
210,20,M,M20,pert_0049,trt,1448,-0.038606681,FALSE,0.088607595
211,38,AB,AB38,pert_0050,trt,1710,-0.138237726,FALSE,0.2151898734177215
212,26,I,I26,pert_0051,trt,1536,-0.47683911,FALSE,0.1392405063291139
213,23,P,P23,pert_0052,trt,1601,-1.056071534,FALSE,0.1139240506329113
214,15,K,K15,pert_0053,trt,1531,-0.020739227,FALSE,0.1392405063291139
215,31,R,R31,pert_0054,trt,1604,-1.395807905,FALSE,0.1518987341772152
